Code,Name,Producer,Tax,Price,PriceReserve,PriceReserveOrder,Quantity,Code1,Code2,Code3,Code4,Code6,Code7,Code8,Code9,Code10,Code11
990007424,Пакет д/мусора 50х60 35л №30 НДС,Украина,20,9.88,9.88,9.88,22,,100225,,,100501,100077,100055,900010,900754,
990016011,Бумага А4 500листов, <не определен>,20,83.01,83.01,83.01,6,,100225,,,100501,100077,100055,900010,900754,
990016012,Тетрадь 48 листов, <не определен>,20,7.32,7.32,7.32,14,,100225,,,100501,100077,100055,900010,900754,
990016013,Скотч прозрачный 48 мм*100*40мкм, <не определен>,20,10.9,10.9,10.9,12,,100225,,,100501,100077,100055,900010,900754,
990016014,Скотч  12 мм*10м прозрачный, <не определен>,20,1.05,1.05,1.05,7,,100225,,,100501,100077,100055,900010,900754,
990016015,Ручка шариковая ВМ 8117-01 Корвина синяя, <не определен>,20,1.32,1.32,1.32,26,,100225,,,100501,100077,100055,900010,900754,
990016017,Карандаш графитный с ластиком корпус ассорти, <не определен>,20,1.73,1.73,1.73,6,,100225,,,100501,100077,100055,900010,900754,
990016018,Файлы А4 30 мкм глянцевый 100 шт, <не определен>,20,32.33,32.33,32.33,11,,100225,,,100501,100077,100055,900010,900754,
990016019,Моющее средство Мистер Пропер лайм и мята 500 мл, <не определен>,20,27.47,27.47,27.47,13,,100225,,,100501,100077,100055,900010,900754,
990016033,Мыло жидкое Sаbon с дозатором 0.5 л, <не определен>,20,12.45,12.45,12.45,10,,100225,,,100501,100077,100055,900010,900754,
990016034,Средство для мытья  посуды Гала  500мл, <не определен>,20,14.62,14.62,14.62,8,,100225,,,100501,100077,100055,900010,900754,
990016035,Моющее ср-во для стекол Про мор.свежесть 500мл, <не определен>,20,22.36,22.36,22.36,9,,100225,,,100501,100077,100055,900010,900754,
990016037,Бумага туалетная  Альбатрос серая,Украина,20,2.97,2.97,2.97,70,,100225,,,100501,100077,100055,900010,900754,
990016038,Тряпка для пола 50*60 см,Украина,20,7.28,7.28,7.28,26,,100225,,,100501,100077,100055,900010,900754,
990016039,Бумага-этикетка самокл. А4  65*38*21.2мм №100,Украина,20,111.69,111.69,111.69,11,,100225,,,100501,100077,100055,900010,900754,
990016043,Швабра со сьемным  элементом КД - 8020 с ручкой,Украина,20,81.39,81.39,81.39,5,,100225,,,100501,100077,100055,900010,900754,
990016045,Губка кухонная Оптимум Про  90*60*30 №5,Украина,20,6.83,6.83,6.83,7,,100225,,,100501,100077,100055,900010,900754,
990016047,Скобы №24/6,Украина,20,3.89,3.89,3.89,13,,100225,,,100501,100077,100055,900010,900754,
990016049,Перчатки универсальные М №1 Про,Украина,20,11.78,11.78,11.78,32,,100225,,,100501,100077,100055,900010,900754,
990016065,Метла с пластмассовой ручкой,Украина,20,40.8,40.8,40.8,1,,100225,,,100501,100077,100055,900010,900754,
990016596,Клей-карандаш Дельта 21г ,Украина,20,3.89,3.89,3.89,22,,100225,,,100501,100077,100055,900010,900754,
990016597,Салфетка вискозная ,Украина,20,1.64,1.64,1.64,20,,100225,,,100501,100077,100055,900010,900754,
990016598,Точилка Дельта 9703,Украина,20,1.79,1.79,1.79,3,,100225,,,100501,100077,100055,900010,900754,
990018035,Кассовая лента 57 термо 40м, <не определен>,20,12.02,12.02,12.02,228,,100225,,,100501,100077,100055,900010,900754,
990018038,Средство чистящее для мытья и дезинфекции Доместос 0.5л, <не определен>,20,32.33,32.33,32.33,11,,100225,,,100501,100077,100055,900010,900754,
990018040,Степлер №24/6 26/6 65 мм Ассорти, <не определен>,20,43.58,43.58,43.58,1,,100225,,,100501,100077,100055,900010,900754,
990018043,Веник хозяйственный украинский, <не определен>,20,34.8,34.8,34.8,3,,100225,,,100501,100077,100055,900010,900754,
990018044,Нож канцелярский 9мм пластиковый Axent , <не определен>,20,7.61,7.61,7.61,7,,100225,,,100501,100077,100055,900010,900754,
990018045,Краска штемпельная 30мл ВМ 1901-01 синяя, <не определен>,20,8.09,8.09,8.09,4,,100225,,,100501,100077,100055,900010,900754,
990018046,Папка для бумаги с завязками картон А4+0.30мм, <не определен>,20,2.03,2.03,2.03,2,,100225,,,100501,100077,100055,900010,900754,
